tradingview_symbol,symbol,name_en,name_th,market,industry,sector
SET:88TH,88TH,88(Thailand) Public Company Limited,บริษัท 88(ไทยแลนด์) จำกัด (มหาชน),mai,Consumer Products,-
SET:ABM,ABM,ASIA BIOMASS PUBLIC COMPANY LIMITED,บริษัท เอเชีย ไบโอแมส จำกัด (มหาชน),mai,Resources,-
SET:ACAP,ACAP,ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED,บริษัท เอเชีย แคปปิตอล กรุ๊ป จำกัด (มหาชน),mai,Financials,-
SET:ADB,ADB,APPLIED DB PUBLIC COMPANY LIMITED,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),mai,Industrial,-
SET:ADD,ADD,ADDTECH HUB PUBLIC COMPANY LIMITED,บริษัท แอดเทค ฮับ จำกัด (มหาชน),mai,Services,-
SET:AF,AF,AIRA FACTORING PUBLIC COMPANY LIMITED,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),mai,Financials,-
SET:AIRA,AIRA,AIRA CAPITAL PUBLIC COMPANY LIMITED,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน),mai,Financials,-
SET:AKP,AKP,AKKHIE PRAKARN PUBLIC COMPANY LIMITED,บริษัท อัคคีปราการ จำกัด (มหาชน),mai,Services,-
SET:ALPHAX,ALPHAX,ALPHA DIVISIONS PUBLIC COMPANY LIMITED,บริษัท อัลฟ่า ดิวิชั่นส์ จำกัด (มหาชน),mai,Resources,-
SET:AMA,AMA,AMA MARINE PUBLIC COMPANY LIMITED,บริษัท อาม่า มารีน จำกัด (มหาชน),mai,Services,-
SET:AMARC,AMARC,ASIA MEDICAL AND AGRICULTURAL LABORATORY AND RESEARCH CENTER PUBLIC COMPANY LIMITED,บริษัท ศูนย์ห้องปฏิบัติการและวิจัยทางการแพทย์และการเกษตรแห่งเอเซีย จำกัด (มหาชน),mai,Services,-
SET:APO,APO,Asian Palm Oil Public Company Limited,บริษัท เอเชียนน้ำมันปาล์ม จำกัด (มหาชน),mai,Agro & Food Industry,-
SET:APP,APP,APPLICAD PUBLIC COMPANY LIMITED,บริษัท แอพพลิแคด จำกัด (มหาชน),mai,Technology,-
SET:ARIN,ARIN,ARINSIRI LAND PUBLIC COMPANY LIMITED,บริษัท อรินสิริ แลนด์ จำกัด (มหาชน),mai,Property & Construction,-
SET:ARIP,ARIP,ARIP PUBLIC COMPANY LIMITED,บริษัท เออาร์ไอพี จำกัด (มหาชน),mai,Services,-
