Symbol,Description
SET:88TH,88(Thailand) Public Company Limited
SET:ABM,ASIA BIOMASS PUBLIC COMPANY LIMITED
SET:ACAP,ASIA CAPITAL GROUP PUBLIC COMPANY LIMITED
SET:ADB,APPLIED DB PUBLIC COMPANY LIMITED
SET:ADD,ADDTECH HUB PUBLIC COMPANY LIMITED
SET:AF,AIRA FACTORING PUBLIC COMPANY LIMITED
SET:AIRA,AIRA CAPITAL PUBLIC COMPANY LIMITED
SET:AKP,AKKHIE PRAKARN PUBLIC COMPANY LIMITED
SET:ALPHAX,ALPHA DIVISIONS PUBLIC COMPANY LIMITED
SET:AMA,AMA MARINE PUBLIC COMPANY LIMITED
SET:AMARC,ASIA MEDICAL AND AGRICULTURAL LABORATORY AND RESEARCH CENTER PUBLIC COMPANY LIMITED
SET:APO,Asian Palm Oil Public Company Limited
SET:APP,APPLICAD PUBLIC COMPANY LIMITED
SET:ARIN,ARINSIRI LAND PUBLIC COMPANY LIMITED
SET:ARIP,ARIP PUBLIC COMPANY LIMITED
SET:ARROW,ARROW SYNDICATE PUBLIC COMPANY LIMITED
SET:ASN,ASN BROKER PUBLIC COMPANY LIMITED
SET:ASTR,ASTRA ENTERPRISE PUBLIC COMPANY LIMITED
SET:ATP30,ATP30 PUBLIC COMPANY LIMITED
SET:AU,AFTER YOU PUBLIC COMPANY LIMITED
SET:AUCT,UNION AUCTION PUBLIC COMPANY LIMITED
SET:BC,BOUTIQUE CORPORATION PUBLIC COMPANY LIMITED
SET:BE8,BERYL 8 PLUS PUBLIC COMPANY LIMITED
SET:BGT,BGT CORPORATION PUBLIC COMPANY LIMITED
SET:BIS,Bioscience Animal Health Public Company Limited
SET:BKA,Bangkok Asset Intergroup Public Company Limited
SET:BLESS,BLESS ASSET GROUP PUBLIC COMPANY LIMITED
SET:BM,BANGKOK SHEET METAL PUBLIC COMPANY LIMITED
SET:BOL,BUSINESS ONLINE PUBLIC COMPANY LIMITED
SET:BPS,BPS Technology Public Company Limited
SET:BSM,BUILDERSMART PUBLIC COMPANY LIMITED
SET:BTC,THE BROOKER GROUP PUBLIC COMPANY LIMITED
SET:BTW,BT WEALTH INDUSTRIES PUBLIC COMPANY LIMITED
SET:BVG,BlueVenture Group Public Company Limited
SET:CAZ,CAZ (THAILAND) PUBLIC COMPANY LIMITED
SET:CEYE,Chamni's Eye Public Company Limited
SET:CFARM,CHUWIT FARM (2019) PUBLIC COMPANY LIMITED
SET:CHEWA,CHEWATHAI PUBLIC COMPANY LIMITED
SET:CHIC,CHIC REPUBLIC PUBLIC COMPANY LIMITED
SET:CHO,CHO THAVEE PUBLIC COMPANY LIMITED
SET:CHOW,CHOW BRIGHT VENTURES HOLDINGS PUBLIC COMPANY LIMITED
SET:CIG,C.I.GROUP PUBLIC COMPANY LIMITED
SET:CMO,CMO PUBLIC COMPANY LIMITED
SET:COLOR,SALEE COLOUR PUBLIC COMPANY LIMITED
SET:COMAN,COMANCHE INTERNATIONAL PUBLIC COMPANY LIMITED
SET:CPANEL,CPANEL PUBLIC COMPANY LIMITED
SET:CPR,CPR GOMU INDUSTRIAL PUBLIC COMPANY LIMITED
SET:CRD,CHIANGMAI RIMDOI PUBLIC COMPANY LIMITED
SET:D,DENTAL CORPORATION PUBLIC COMPANY LIMITED
SET:DEXON,DEXON Technology Public Company Limited
SET:DHOUSE,DHOUSE PATTANA PUBLIC COMPANY LIMITED
SET:DIMET,DIMET (SIAM) PUBLIC COMPANY LIMITED
SET:DOD,DOD BIOTECH PUBLIC COMPANY LIMITED
SET:DPAINT,DELTA PAINT PUBLIC COMPANY LIMITED
SET:ECF,EAST COAST FURNITECH PUBLIC COMPANY LIMITED
SET:EFORL,E FOR L AIM PUBLIC COMPANY LIMITED
SET:EMPIRE,ORIGIN GLOBAL EMPIRE PUBLIC COMPANY LIMITED
SET:ETE,EASTERN TECHNICAL ENGINEERING PUBLIC COMPANY LIMITED
SET:EURO,Euro Creations Public Company Limited
SET:FLOYD,FLOYD PUBLIC COMPANY LIMITED
SET:FPI,FORTUNE PARTS INDUSTRY PUBLIC COMPANY LIMITED
SET:FSMART,FORTH SMART SERVICE PUBLIC COMPANY LIMITED
SET:FVC,FILTER VISION PUBLIC COMPANY LIMITED
SET:GCAP,G CAPITAL PUBLIC COMPANY LIMITED
SET:GFC,Genesis Fertility Center Public Company Limited
SET:GLORY,GLORY FOREVER PUBLIC COMPANY LIMITED
SET:GTB,GETABEC PUBLIC COMPANY LIMITED
SET:GTV,GREEN TECH VENTURES PUBLIC COMPANY LIMITED
SET:HANN,MUKDAHAN INTERNATIONAL HOSPITAL PUBLIC COMPANY LIMITED
SET:HARN,HARN ENGINEERING SOLUTIONS PUBLIC COMPANY LIMITED
SET:HL,HEALTHLEAD PUBLIC COMPANY LIMITED
SET:HPT,HOME POTTERY PUBLIC COMPANY LIMITED
